#	THĂNG
$	ĐỒNG
ĐNÁ	ĐÔNG NAM Á
ĐNB	ĐÔNG NAM BỘ
DNCM	DÂNG NIỀM CẢM MẾN
DNCPH	DOANH NGHIỆP CỔ PHẦN HÓA
DNĐ	
ĐNĐ	ĐIỆN NÃO ĐỒ
DNDD	DOANH NGHIỆP DÂN DOANH
DNDLĐTCNBK	DẠY NGHỀ DÂN LẬP ĐÀO TẠO CÔNG NGHỆ BÁCH KHOA
DNĐTNN	DOANH NGHIỆP ĐẦU TƯ NƯỚC NGOÀI
DNGH	DÀN NHẠC GIAO HƯỞNG
ĐNHC	ĐỐI NGOẠI HÀNH CHÍNH
ĐNK	ĐỊCH NHÂN KIỆT
DNLH	DOANH NGHIỆP LỮ HÀNH
ĐNND	ĐỐI NGOẠI NHÂN DÂN
DNNN	DOANH NGHIỆP NHÀ NƯỚC
DNNQD	DOANH NGHIỆP NGOÀI QUỐC DOANH
ĐNNTC	ĐẠI NAM NHẤT THỐNG CHÍ
DNNVV	DOANH NGHIỆP NHỎ VÀ VỪA
DNPM	DOANH NGHIỆP PHẦN MỀM
DNQĐ	DOANH NGHIỆP QUÂN ĐỘI
DNSG	DOANH NGHIỆP SÀI GÒN
DNT	DOANH NGHIỆP TRẺ
ĐNT	ĐIỆN NÔNG THÔN
ĐNTLTB	ĐẠI NAM THỰC LỤC TIỀN BIÊN
DNTN	DOANH NGHIỆP TƯ NHÂN
DNTNMT	DOANH NGHIỆP TƯ NHÂN MINH THỊNH
DNTƯ	DOANH NGHIỆP TRUNG ƯƠNG
DNTVN	DOANH NGHIỆP TRẺ VIỆT NAM
DNVK	DOANH NGHIỆP VIỆT KIỀU
DNVN	DOANH NGHIỆP VIỆT NAM
DNVT	DOANH NGHIỆP VẬN TẢI
DNVVN	DOANH NGHIỆP VỪA VÀ NHỎ
DNXK	DOANH NGHIỆP XUẤT KHẨU
DOCUMENT	ĐÓT CU MÂN
DOG	ĐÓT
DOGBA	RỐP BA
DOHA	ĐÔ HA
ĐÔLA	ĐÔ LA
DOLCE	ĐOI
DOLLARS	ĐÔ LA
DOMENECH	ĐÔ MI NÍCH
DOMESCO	ĐÔ MÉT CÔ
DOMINIC	ĐÔ MI NÍCH
DOMINICA	ĐO MI NI CA
DOMINIQUE	ĐÔ MI NÍCH
DONADONI	ĐÔ NA ĐÔ NI
DONALD	ĐÔ NAN
DONALDSON	ĐÔ NAN SÂN
DONI	DO NI
DONOVAN	ĐÔ NÔ VAN
DORTMUND	ĐÓT MUN
DOTMUND	ĐÓT MUN
DOUBLE	ĐẤP BỒ
DOURI	ĐU RY
DOWNER	ĐAO NƠ
DOWNING	ĐAO NING
DOWNLOAD	ĐAO LÓT
DOYLE	ĐOI
ĐPCTPMT	ĐỘI PHÒNG CHỐNG TỘI PHẠM MA TÚY
ĐPT	ĐA PHƯƠNG TIỆN
ĐPTTH	ĐÀI PHÁT THANH TRUYỀN HÌNH
ĐQ	ĐẾ QUỐC
DQB	DÂN QUÂN BIỂN
ĐQG	ĐA QUỐC GIA
ĐQLĐS	ĐOẠN QUẢN LÝ ĐƯỜNG SÔNG
DQTV	DÂN QUÂN TỰ VỆ
DREAM	RIM
DREAMGIRLS	RIM GƠ
DREW	RÊU
ĐRL	ĐIỂM RÈN LUYỆN
DROGBA	RỐP BA
ĐS	
DSCC	DƯỢC SĨ CAO CẤP
ĐSCT	ĐƯỜNG SẮT CAO TỐC
ĐSĐMTQ	ĐẠI SỨ ĐẶC MỆNH TOÀN QUYỀN
DSGD	DÂN SỐ GIA ĐÌNH
DSGĐ	DÂN SỐ GIA ĐÌNH
DSGĐTE	DÂN SỐ GIA ĐÌNH TRẺ EM
DSKHHGĐ	DÂN SỐ KẾ HOẠCH HÓA GIA ĐÌNH
DSPT	DÂN SỰ PHÚC THẨM
ĐSQ	ĐẠI SỨ QUÁN
DSST	DÂN SỰ SƠ THẨM
DSTG	DI SẢN THẾ GIỚI
DSTL	DÒNG SÔNG TRẦM LẶNG
DSTNTG	DI SẢN THIÊN NHIÊN THẾ GIỚI
DSVH	DI SẢN VĂN HOÁ
DSVHPVT	DI SẢN VĂN HÓA PHI VẬT THỂ
DSVHTG	DI SẢN VĂN HÓA THẾ GIỚI
ĐSVN	ĐƯỜNG SẮT VIỆT NAM
DSX	DÒNG SÔNG XANH
ĐT	ĐIỆN THOẠI
ĐTB	ĐIỂM TRUNG BÌNH
DTBB	DỰ TRỮ BẮT BUỘC
ĐTBC	ĐIỂM TRUNG BÌNH CHUNG
ĐTBĐ	ĐỘI TUYỂN BÓNG ĐÁ
ĐTBĐQG	ĐỘI TUYỂN BÓNG ĐÁ QUỐC GIA
ĐTBĐVN	ĐỘI TUYỂN BÓNG ĐÁ VIỆT NAM
ĐTBT	ĐẦU TƯ BÌNH THUẬN
ĐTCBL	ĐIỀU TRA CHỐNG BUÔN LẬU
ĐTCC	ĐIỆN THOẠI CÔNG CỘNG
ĐTCĐ	ĐIỆN THOẠI CỐ ĐỊNH
ĐTCK	ĐẦU TƯ CHỨNG KHOÁN
ĐTĐ	ĐÁI THÁO ĐƯỜNG
DTDĐ	ĐIỆN THOẠI DI ĐỘNG
ĐTDD	ĐIỆN THOẠI DI ĐỘNG
ĐTDĐ	ĐIỆN THOẠI DI ĐỘNG
ĐTĐH	ĐÀO TẠO ĐẠI HỌC
ĐTDTBV	ĐI TÌM DẤU TÍCH BA VUA
DTG	DAN THẾ GIỚI
ĐTGQ	ĐỘI TUYỂN QUỐC GIA
ĐTH	ĐÀN TIN HỌC
ĐTHA	ĐỘI THI HÀNH ÁN
DTHT	DẠY THÊM HỌC THÊM
ĐTHT	ĐÔNG TRÙNG HẠ THẢO
DTHVN	DÂN TỘC HỌC VIỆT NAM
ĐTHVN	ĐÀI TRUYỀN HÌNH VIỆT NAM
ĐTLA	ĐỒNG TÂM LONG AN
ĐTLB	ĐÔ THỊ LẤN BIỂN
DTLSVH	DI TÍCH LỊCH SỬ VĂN HOÁ
ĐTLT	ĐÀO TẠO LIÊN THÔNG
ĐTM	ĐÔ THỊ MỚI
ĐTML	ĐIỆN TOÁN MẠNG LƯỚI
ĐTMTT	ĐÔ THỊ MỚI THỦ THIÊM
ĐTN	ĐÀO TẠO NGHỀ
ĐTNCKH	ĐỀ TÀI NGHIÊN CỨU KHOA HỌC
ĐTNCS	ĐOÀN THANH NIÊN CỘNG SẢN
DTNĐ	DỰ THẢO NGHỊ ĐỊNH
ĐTNĐ	ĐƯỜNG THỦY NỘI ĐỊA
ĐTNM	ĐIỂM THU NHẬN MÁY
ĐTNN	ĐẦU TƯ NƯỚC NGOÀI
DTNT	DÂN TỘC NỘI TRÚ
ĐTNT	ĐỐI TƯỢNG NỘP THUẾ
ĐTNVN	ĐÀI TIẾNG NÓI VIỆT NAM
ĐTPT	ĐẦU TƯ PHÁT TRIỂN
ĐTPTNHN	ĐẦU TƯ PHÁT TRIỂN NHÀ HÀ NỘI
ĐTQG	ĐỘI TUYỂN QUỐC GIA
ĐTQV	ĐẠI TƯỚNG QUÂN VƯƠNG
ĐTRNN	ĐẦU TƯ RA NƯỚC NGOÀI
ĐTST	ĐÔ THỊ SINH THÁI
ĐTT	ĐOÀN THANH TRA
DTTBLĐ	DÂU TẰM TƠ BẮC LÂM ĐỒNG
ĐTTC	ĐÀO TẠO TÍN CHỈ
ĐTTCP	ĐOÀN THANH TRA CHÍNH PHỦ
ĐTTH	ĐIỆN TOÁN TỰ HÀNH
DTTN	ĐIỂM THI TỐT NGHIỆP
ĐTTN	ĐẦU TƯ TRONG NƯỚC
ĐTTP	ĐẤU THẦU TRÁI PHIẾU
DTTS	DÂN TỘC THIỂU SỐ
DTTSTN	DÂN TỘC THIỂU SỐ TÂY NGUYÊN
ĐTV	ĐÀO TẠO VIÊN
ĐTVN	ĐỘI TUYỂN VIỆT NAM
ĐTVT	ĐIỆN TỬ VIỄN THÔNG
ĐTVTQG	ĐIỆN TỬ VIỄN THÔNG QUỐC GIA
ĐTXD	ĐẦU TƯ XÂY DỰNG
ĐTXDCB	ĐẦU TƯ XÂY DỰNG CƠ BẢN
ĐTXDHN	ĐẦU TƯ XÂY DỰNG HÀ NỘI
DUAL	ĐU Ồ
DUBAI	ĐU BAI
DUBLIN	ĐẤP LIN
DUFF	ĐẤP
ĐUK	ĐẢNG ỦY KHỐI
DUMA	ĐU MA
DUMAS	ĐU MÁT
DUNGA	ĐUN GA
DURIAN	ĐU RI AN
DUSIT	ĐU XÍT
DUSTIN	ĐỚT TIN
DUTCH	ĐẤC
DV	DỊCH VỤ
ĐVBC	ĐƠN VỊ BẦU CỬ
DVBV	DỊCH VỤ BẢO VỆ
ĐVCĐ	ĐOÀN VIÊN CÔNG ĐOÀN
DVCI	DỊCH VỤ CÔNG ÍCH
DVĐA	DIỄN VIÊN ĐIỆN ẢNH
ĐVĐD	ĐƠN VỊ ĐỘ DÀI
DVDL	DỊCH VỤ DU LỊCH
DVDLĐL	DỊCH VỤ DU LỊCH ĐÀ LẠT
ĐVDT	ĐƠN VỊ ĐƯỢC TRAO
DVGT	DỊCH VỤ GIA TĂNG
ĐVHD	ĐỘNG VẬT HOANG DÃ
DVKDTH	DỊCH VỤ KINH DOANH TỔNG HỢP
ĐVKT	ĐƠN VỊ KỈ THUẬT
DVKTC	DỊCH VỤ KỸ THUẬT CAO
DVLĐ	DỊCH VỤ LAO ĐỘNG
ĐVN	ĐỘI VĂN NGHỆ
DVNH	DỊCH VỤ NGÂN HÀNG
DVPTĐT	DỊCH VỤ PHÁT TRIỂN ĐÔ THỊ
ĐVSNCL	ĐƠN VỊ SỰ NGHIỆP CÔNG LẬP
ĐVTL	ĐƠN VỊ TÂM LÝ
DVTM	DỊCH VỤ THƯƠNG MẠI
DVTMTH	DỊCH VỤ THƯƠNG MẠI THANH HOÁ
ĐVTN	ĐOÀN VIÊN THANH NIÊN
DVTT	DỊCH VỤ TRỰC TUYẾN
ĐVTTN	ĐOÀN VIÊN THANH THIẾU NIÊN
ĐVTV	ĐƠN VỊ THIÊN VĂN
ĐVUT	ĐOÀN VIÊN ƯU TÚ
DVVH	DỊCH VỤ VĂN HÓA
DVVL	DỊCH VỤ VIỆC LÀM
DVVLTN	DỊCH VỤ VIỆC LÀM THANH NIÊN
DVVTCI	DỊCH VỤ VIỄN THÔNG CÔNG ÍCH
ĐX	ĐÔNG XUÂN
ĐXMT	ĐƯỜNG XƯA MÂY TRẮNG
ĐXT	ĐIỂM XÉT TUYỂN
DYER	ĐAI Ơ
DYLAN	ĐAI LÂN
EAST	ÍT
EBAY	E BAY
EBRE	Ê BỜ RƠ
EBRO	Ê BỜ RÔ
ECONOMIST	Ì CO NO MÍT
ECUADOR	Ê CU A ĐO
EDDIE	ÉT ĐI
EDGA	ÁT GA
EDGAR	ÉT GA
EDINBURGH	Ê ĐIN BUỐT
EDISON	Ê ĐI SÂN
EDITION	Ê ĐI SẦN
EDMILSON	ÉT MIN SÂN
EDMOND	ÉT  MÔNG
EDMONTON	ÉT MƠN TƠN
EDMUND	ÉT MUN
EDO	Ê ĐÔ
EDU	Ê ĐU
EDUCATION	Ê ĐU CÂY SẦN
EDWARD	ÉT QUỢT
EDWARDS	ÉT QUỢT
EDY	Ê ĐI
EERO	E Ê RÔ
EESTI	ÉT TI
EFFEL	ÉP PHEN
EHRLICH	Ê RƠ LÍCH
EHUD	Ê HÚT
EIDUR	Ê ĐUA
EINDHOVEN	EN HÔ VEN
EINSTEIN	ANH XỜ TANH
EIRIK	Ê RÍT
EKEBERG	Ê KÊ BỚT
EKIP	Ê KÍP
EKMAN	ÉC MAN
EL	EN
ELBARADEI	EN BA RA ĐÂY
ELBASAN	EN BA XAN
ELBE	EN BƠ
ELBERT	EN BỚT
ELBURZ	EN BỚT
ELECTRIC	Ê LÉC TRÍC
ELECTRONIC	E LÉT TRÔ NÍT
ELECTRONICS	E LÉT TRÔ NÍT
ELENA	E LÊ NA
ELIOT	Ê LI ÓT
ELIZABETH	A LI GIA BÉT
ELIZONDO	E LI GION ĐÔ
ELLEN	Ê LEN
ELLESMERE	EN LÉT ME RƠ
ELLIOT	Ê LI ÓT
ELLIOTT	E LI ÓT
ELLORA	Ê LÔ RA
ELSA	EN XA
ELTON	EO TÂN
ELVIS	EO VÍT
EMAIL	I MEO
EMERSON	E MƠ SÂN
EMESON	E MÊ SÂN
EMILY	Ê MI LY
EMINEM	Ê MI EM
EMMA	EM MA
EMMANUEL	EM MA NU EN
EMMETT	EM MÉT
EMMY	EM MY
EMPIRICUS	EM BI RI CÚT
EMPOLI	EM BÔ LI
EMS	EM XƠ
ENCAMP	EN CAM
END	EN
ENEST	Ê NÉT
ENGELS	EN GHEN
ENGLAND	ING LÂN
ENGLISH	ENG LÍCH
ENISEJ	Ê NI XÂY
ENRIQUE	EN RÍT KÊ
ENSOR	EN XÔ
ENTER	EN TƠ
ENTERPRISE	EN TƠ ROAI
ENTERTAINMENT	EN TƠ TAI MẦN
ENTRY	EN TRY
ENZELI	EN GIÊ LI
ENZYM	EN DIM
ENZYME	EN DIM
EPSON	ÉP SÂN
EPSTEIN	ÉP XỜ TEN
ERASMUS	Ê RÁT MÚT
ERFURT	ÉC PHUỐT
ERGOTIMOS	ÉC GÔ TI MỐT
ERIC	Ê RÍT
ERICKSSON	Ê RÍT SÂN
ERICSSON	Ê RÍT SÂN
ERIK	Ê RÍCH
ERIKA	Ê RI CA
ERIKSSON	Ê RÍT SÂN
ERLANGGA	ÉC LANG GA
ERLENMEYER	ÉC LEN MÂY Ơ
ERMITAGE	ÉC MI TA GIƠ
ERMOLOVA	ÉC MÔ LÔ VA
ERNEST	ÉC NÉT
ERNST	EN XỜ TƠ
ERZGEBIRGE	ÉC GHÊ BỚT
ES	ÉT
ESAKI	Ê XA KI
ESCALDES	ÉT CAN ĐÉT
ESCAPE	ÉT KẾP
ESCAUD	ÉT CÔ
ESCHYLLE	Ê SIN
ESKIMO	ÉT KI MÔ
ESPANYOL	ÉT BA NHON
ESPOO	ÉT BÔ
ESTADOS	ÉT TA ĐỐT
ESTE	ÉT TE
ESTENSSORO	ÉT TEN XÔ RÔ
ESTONIA	ÉT TÔ NHA
ESTRADA	ÉT TRA ĐA
ESTROGEN	ÉT TRÔ GIEN
ESTUAIRE	ÉT TU E
ETANOL	Ê TA NON
ETHANOL	EN THA NÔN
ETHIOPIA	Ê THI Ô BI A
ETNA	ÉT NA
ETTADHAMEN	ÉT TA ĐA MEN
ETTINGSHAUSEN	ÉT TINH XỜ HAO SƠN
EUSTACCHIUS	E ÚT TÁC KI ÚT
EVA	E VA
EVANS	E VAN
EVENT	I VẦN
EVEREST	E VƠ RÉT
EVERGLADES	E VƠ GỜ LÁT
EVERTON	E VƠ TƠN
EVNTELECOM	Ê VI EN TÊ LÊ COM
EXCEL	ÁCH SEO
EXIMBANK	Ê XIM BEN
EXPESS	ÍT RÉT
EXPLORER	ỊT LO RƠ
EXPRESS	ÍT RÉT
EYE	AI
EYRE	E RƠ
F	ÉP
FABIO	PHA BI Ô
FACE	PHÂY
FAFILM	PHA PHIM
FAHASA	PHA HA SA
FAIR	PHE
FAITH	PHÂY
FAIYUM	PHAI UM
FAJANS	PHAI AN
FAKAOFO	PHA CAO PHÔ
FALKLAND	PHỐC LEN
FALLA	PHA LA
FALLS	PHÔN
FALSTER	PHAN XỜ TƠ
FALTINGS	PHAN TINH
FAMILY	PHEM MI LY
FAN	PHEN
FARABUNDO	PHA RA BUN ĐÔ
FARADAY	PHA RA ĐÂY
FAROUK	PHA RÚC
FASHION	PHÂY SẦN
FAST	PHÁT
FATAH	PHA TA
FAULKNER	PHÓC NƠ
FAURE	PHÔ RƠ
FAYOL	PHA DON
FEBVRE	PHÉP VỜ RƠ
FECHNER	PHÉCH NƠ
FED	PHÉT
FEDERER	PHE ĐƠ RƠ
FEDERLINE	PHI ĐƠ LIN
FEDOSEEV	PHÊ ĐÔ XÊ ÉP
FEET	PHÍT
FEININGER	PHAI NIN GƠ
FELDHOFER	PHEN HÔ PHƠ
FELING	PHÊ LINH
FELIX	BÊ LÍCH
FELLINI	PHÊ LI NI
FEMALEFIRST	PHI MEO PHỚT
FERDINAND	PHÉT ĐI NĂNG
FERGANA	PHÉC GA NA
FERGUSON	PHÊ GU SÂN
FERMAT	PHÉC MA
FERMI	PHÉC MI
FERNANDEL	PHÉC NĂNG ĐEN
FERNANDEZ	PHÉT NAN ĐÉT
FERNANDO	PHÉT NAN ĐÔ
FERRARAIS	PHÊ RA RÊ
FERRARI	PHE RA RI
FERRARIS	PHÊ RA RÍT
FERREIRA	PHE RÊ RA
FERRY	PHÊ RI
FERSMAN	PHÉC XỜ MAN
FEUERBACH	PHOI Ơ BẮC
FEYNMAN	PHÂY MAN
FIANARANTSOA	PHI A NA RAN XOA
FIAT	PHI ÁT
FIBONACCI	PHI BÔ NA XI
FICHTE	PHÍCH TƠ
FICK	PHÍCH
FIDEL	PHI ĐEN
FIELD	PHIU
FIELDING	PHIU ĐINH
FIELDS	PHIU
FIFA	PHI PHA
FIGO	PHI GÔ
FIJI	PHI GI
FILATOV	PHI LA TỐP
FILE	PHAI
FILIPE	PHI LI BÊ
FILIPPO	PHI LÍP BÔ
FILLASTRE	PHI LÁT
FILLIA	PHI LI A
FILM	PHIM
FILOCLES	PHI LỐC LÉT
FINLAY	PHIN LÂY
FIONA	PHI Ô NA
FIORE	PHI Ô RÊ
FIORENTINA	PHI Ô REN TI NA
FIREFOX	PHAI PHỐC
FIRENZE	PHI REN GIÊ
FISCHER	PHÍT CHƠ
FISHER	PHI SƠ
FLAMENCO	LA MEN CÔ
FLAMINIUS	PHỜ LA MI NI ÚT
FLANDRE	PHỜ LEN ĐỜ RƠ
FLANDRES	PHỜ LEN ĐỜ RÉT
FLAUBERT	PHỜ LÔ BỚT
FLEMING	PHỜ LÊ MINH
FLENSBURG	PHỜ LEN XỜ BỚT
FLETCHER	LÉT CHƠ
FLEWELLING	PHỜ LI QUEO LINH
FLEXNER	PHỜ LÉT XỜ NƠ
FLINDT	PHỜ LIN TƠ
FLORENCE	PHỜ LO REN
FLORENTIA	PHỜ LO REN TI A 
FLORENTIN	PHỜ LO REN TIN
FLORENTINO	PHỜ LO REN TI NÔ
FLOREY	PHỜ LO RI
FLORIDA	LO RI ĐA
FOCUS	PHO CỚT
FOGO	PHÔ GÔ
FOKIN	PHÔ KIN
FOLIC	PHÔ LÍC
FONDA	PHÔN ĐA
FONE	PHÔN
FONGAFALE	PHĂNG GA PHA LÊ
FONTAINEBLEAU	PHÔNG TEN NƠ BỜ LÔ
FOOD	PHÚT
FOODS	PHÚT
FOOT	PHÚT
FOOTBALL	PHÚT BÔN
FORCE	PHỌT
FORD	PHO
FOREST	PHO RÉT
FORLAN	PHÓT LÂN
FORMENTERA	PHOÓC MEN TÊ RA
FORT	PHÓT
FORTALEZA	PHO TA LÊ GIA
FORTUNATOV	PHO TU NA TỐP
FORUM	PHO RUM
FOSCOLO	PHÓT CÔ LÔ
FOSTER	BỐT TƠ
FOTOSEARCH	PHÔ TÔ SỢT
FOUCAULT	PHU CÔN
FOUNDATION	PHAO ĐÂY SẦN
FOURIER	PHU RI Ê
FOURMONT	PHUA MÔNG
FOURNIER	PHO NI Ơ
FOWLER	PHAO LƠ
FOX	PHỐC
FPS	HÌNH TRÊN GIÂY
FR	ÉP RỜ
FRA	PHỜ RA
FRANCA	PHỜ RAN XA
FRANCE	RĂNG
FRANCESCO	RĂNG XÉT CÔ
FRANCIS	RĂNG XÍT
FRANCISCO	RĂNG XÍT CÔ
FRANCISTOWN	PHỜ RAN XÍT TAO
FRANCK	PHỜ RAN CƠ
FRANCO	RĂNG CÔ
FRANK	PHỜ RAN CƠ
FRANKEL	PHỜ RAN KEN
FRANKFURT	RĂNG PHÚT
FRANKLAND	PHỜ RAN CỜ LEN
FRANKLIN	PHỜ RAN CỜ LIN
FRANKO	PHỜ RAN CÔ
FRANSISCO	PHỜ RAN XÍT CÔ
FRANZ	PHỜ RAN XƠ
FRAUNHOFER	PHỜ RAO HÔ PHƠ
FRED	RÉT
FREDDIE	RÉT ĐI
FREDDY	RÉT ĐY
FREDENSBORG	PHỜ RÊ ĐEN XỜ BOÓC
FREDERIC	PHỜ RÊ ĐÊ RÍT
FREE	RY
FREEPORT	PHỜ RI BÓT
FREETOWN	PHỜ RI TAO
FREGE	PHỜ RÊ GƠ
FREILIGRATH	PHỜ RÂY LI GỜ RÁT
FREINET	PHỜ RÂY NÉT
FRENET	PHỜ RÊ NÉT
FRESNEL	PHỜ RÉT NEN
FREUD	PHỜ ROI ĐƠ
FRIEDEL	PHỜ RÍT ĐEN
FRIEDMAN	PHỜ RÍT MEN
FRIEDMANN	PHỜ RÍT MAN
FRIEDRICH	PHỜ RI ĐỜ RÍCH
FRIENDS	PHỜ REN
FRIESLAND	PHỜ RI ÉT LEN
FRISCH	PHỜ RI SƠ
FRISIAN	PHỜ RI SÂN
FROBENIUS	PHỜ RÔ BÊ NI ÚT
FROBISHER	PHỜ RÔ BI SƠ
FROMAGET	PHỜ RÔ MA GÉT
FROMM	PHỜ ROM
FROUDE	PHỜ RÚT
FTP	ÉP TÊ PÊ
FUJIMORI	PHU DI MO RI
FUJITA	PHU GI TA
FUKUDA	PHU CU ĐA
FUKUI	PHU CU I
FUKUOKA	PHU CU Ô CA
FULBRIGHT	PHUN ROAI
FULHAM	PHUN HAM
FULL	PHUN
FULTON	PHUN TƠN
FUNAFUTI	PHU NA PHU TI
FUNCHAL	PHUN SAN
FUNDY	PHUN ĐI
FUTA	PHU TA
FUTABATEI	PHU TA BA TÂY
FUTSAL	PHÚT SAN
FUTUNA	PHU TU NA
FUTURE	PHIU TRƠ
G	GỜ
GABBANA	GÁP BA NA
GABIEL	GA BI EN
GABOR	GA BÔ
GABRIEL	GA RI EN
GADAMER	GA ĐA MƠ
GADOLIN	GA ĐÔ LIN
GAFFITI	GÁP PHI TI
GAGARIN	GA GA RIN
GAGO	GA GÔ
GAHAM	GA HAM
GAINSBOROUGH	GEN XỜ BO RÂU
GALATASARAY	GA LA TA SA RAY
GALAXY	GA LA XY
GALBRAITH	GON BỜ RẾT
GALENUS	GA LÊ NÚT
GALIEN	GA LI EN
GALILEI	GA LI LÊ
GALLAS	GA LÁT
GALLIA	GA LI A
GALLIANI	GA LI A NI
GALTON	GAN TÔNG
GAMA	GA MA
GAMBETTA	GAM BÉT TA
GAME	GÊM
GAMES	GÊM
GAMESHOW	GÊM SÔ
GAMOW	GA MỐP
GANA	GA NA
GANCE	GĂNG XƠ
GAND	GEN
GANDAK	GAN ĐẮC
GANDHI	GAN ĐI
GAP	GÁP
GARAMOND	GA RA MÔNG
GARCIA	GÁC XI A
GARDEL	GÁC ĐEN
GARDEN	GA ĐÂN
GARETH	GA RÉT
GARFAGNANA	GÁC PHA NHA NA
GARIBALDI	GA RI BAN ĐI
GARNIER	GÁC NI Ơ
GARONNES	GA RÔN
GAROUA	GU RUA
GARUDA	GA RU ĐA
GARY	GA RY
GASCOGNE	GA XỜ CÔ NHƠ
GASPE	GA XỜ BƠ
GASS	GÁT
GASSENDI	GÁT XEN ĐI
GATCHINA	GÁT CHI NA
GATES	GẾT
GATHRIE	GA THƠ RI
GATTUSO	GA TÚT SÔ
GAUGUINS	GÔ GANH
GAULLE	GÔN
GAUSS	GAU XƠ
GAVROCHE	GA VƠ RỐT
GAY	GAY
GAYA	GAY A
GAZA	GA GIA
GAZZETTA	GA GIÉT TA
GBB	GIẤY BÃI BẰNG
GBT	GIẤY BÁO THI
GCCN	GIAI CẤP CÔNG NHÂN
GCCNVN	GIAI CẤP CÔNG NHÂN VIỆT NAM
GCMND	GIẤY CHỨNG MINH NHÂN DÂN
GCN	GIẤY CHỨNG NHẬN
GCNCLCT	GIẤY CHỨNG NHẬN CHẤT LƯỢNG CÔNG TRÌNH
GCNĐKKD	GIẤY CHỨNG NHẬN ĐĂNG KÝ KINH DOANH
GCNĐT	GIẤY CHỨNG NHẬN ĐẦU TƯ
GCNKQTS	GIẤY CHỨNG NHẬN KẾT QUẢ TUYỂN SINH
GCNQSD	GIẤY CHỨNG NHẬN QUYỀN SỬ DỤNG
GCNQSĐ	GIẤY CHỨNG NHẬN QUYỀN SỬ DỤNG
GCNQSDĐ	GIẤY CHỨNG NHẬN QUYỀN SỬ DỤNG ĐẤT
GCNQSH	GIẤY CHỨNG NHẬN QUYỀN SỞ HỮU
GCNSK	GIẤY CHỨNG NHẬN SỨC KHỎE
GCNTNTT	GIẤY CHỨNG NHẬN TỐT NGHIỆP TẠM THỜI
GCNTP	GIẤY CHỨNG NHẬN TIÊM PHÒNG
GCPM	GIA CÔNG PHẦN MỀM
GCXKPM	GIA CÔNG XUẤT KHẨU PHẦN MỀM
GD	GIÁO DỤC
GĐ	GIÁM ĐỐC
GDBĐS	GIAO DỊCH BẤT ĐỘNG SẢN
GĐBV	GIÁM ĐỐC BỆNH VIỆN
GĐCA	GIÁM ĐỐC CÔNG AN
GĐCATP	GIÁM ĐỐC CÔNG AN THÀNH PHỐ
GDCD	GIÁO DỤC CÔNG DÂN
GDCĐ	GIÁO DỤC CỘNG ĐỒNG
GDCK	GIAO DỊCH CHỨNG KHOÁN
GDCKTPHCM	GIAO DỊCH CHỨNG KHOÁN THÀNH PHỐ HỒ CHÍ MINH
GDCN	GIÁO DỤC CHUYÊN NGHIỆP
GDĐB	GIÁO DỤC ĐẶC BIỆT
GDDH	GIÁM ĐỐC ĐIỀU HÀNH
GDĐH	GIÁO DỤC ĐẠI HỌC
GĐĐH	GIÁM ĐỐC ĐIỀU HÀNH
GDDT	GIÁO DỤC ĐÀO TẠO
GDĐT	GIÁO DỤC ĐÀO TẠO
GĐĐT	GIÁM ĐỊNH ĐẦU TƯ
GDGT	GIÁO DỤC GIỚI TÍNH
GDKHQ	GIAO DỊCH KHÔNG HƯỞNG QUYỀN
GĐKKD	GIẤY ĐĂNG KÝ KINH DOANH
GĐKT	GIÁM ĐỐC KỸ THUẬT
GDLĐ	GIAO DỊCH LƯU ĐỘNG
GDLĐTVL	GIÁO DỤC LAO ĐỘNG TẠO VIỆC LÀM
GDLĐXH	GIÁO DỤC LAO ĐỘNG XÃ HỘI
GDLN	GIA ĐÌNH LỤC NAM
GDMN	GIÁO DỤC MẦM NON
GĐNN	GIÁM ĐỊNH NHÀ NƯỚC
GĐNS	GIÁM ĐỐC NHÂN SỰ
GĐPY	GIÁM ĐỊNH PHÁP Y
GĐPYTT	GIÁM ĐỊNH PHÁP Y TÂM THẦN
GDQP	GIÁO DỤC QUỐC PHÒNG
GĐSX	GIÁM ĐỐC SẢN XUẤT
GĐT	GẠCH ĐỒNG TÂM
GDTC	GIÁO DỤC THỂ CHẤT
GDTH	GIÁO DỤC TIỂU HỌC
GĐTLA	GẠCH ĐỒNG TÂM LONG AN
GDTT	GIÁO DỤC TẬP TRUNG
GĐTT	GIÁM ĐỐC TRUNG TÂM
GDTX	GIÁO DỤC THƯỜNG XUYÊN
GĐV	GIÁM ĐỊNH VIÊN
GDVĐĐ	GIÁO DỤC VIÊN ĐỒNG ĐẲNG
GĐVH	GIA ĐÌNH VĂN HOÁ
GDVL	GIAO DỊCH VIỆC LÀM
GDVN	GIÁO DỤC VIỆT NAM
GĐXH	GIA ĐÌNH XÃ HỘI
GĐYK	GIÁM ĐỊNH Y KHOA
GĐYP	GIÁM ĐỊNH Y PHÁP
GEBA	GIÊ BA
GEIAMI	GÂY A MI
GEISHA	GHÊ SA
GELIANG	GHÊ LI ANG
GELIBOLU	GHÊ LI BÔ LU
GENERAL	GIEN NƠ RÔN
GENNEGAU	GHEN NƠ GAO
GENOUILLY	GIƠ NU I LY
GENOVA	GIÊ NÔ VA
